keys,es,en
TITLE_GAME_NAME,STRACOMTER III,STRACOMTER III
TITLE_SUBTITLE,": el mejor juego de la historia",": the best game ever made"
TITLE_NEW_GAME,Nueva partida,New Game
TITLE_CONTINUE,Continuar,Continue
TITLE_OPTIONS,Opciones,Options
TITLE_CREDITS,Créditos,Credits
TITLE_QUIT,Salir,Quit
CLASS_SELECT_TITLE,Selección de clase,Class Selection
CLASS_SELECT_BACK,Atrás,Back
CLASS_SELECT_CONFIRM,Confirmar,Confirm
CLASS_STATS_FMT,"Vida: %d
Velocidad: %.1f m/s
Munición: %d
Cadencia: %.1f disparos/s
Daño por impacto: %d
Habilidad: %d s de reutilización","Health: %d
Speed: %.1f m/s
Ammo: %d
Rate of fire: %.1f shots/s
Hit damage: %d
Ability: %d s cooldown"
STRATEGY_TITLE,Estrategia,Strategy
STRATEGY_ZONES_SECTION,Planta siguiente,Next floor
STRATEGY_SQUAD_SECTION,Escuadra,Squad
STRATEGY_FLOOR_FMT,Planta %d,Floor %d
STRATEGY_XP_FMT,Experiencia disponible: %d,Experience available: %d
STRATEGY_COST_FMT,Coste de la selección: %d XP,Cost of selection: %d XP
STRATEGY_ZONE_FMT,ZONA %d,ZONE %d
STRATEGY_BOSS_WARNING,⚠ Posible jefe,⚠ Boss possible
STRATEGY_MAP_SMALL,Mapa pequeño,Small map
STRATEGY_MAP_MEDIUM,Mapa mediano,Medium map
STRATEGY_MAP_LARGE,Mapa grande,Large map
STRATEGY_ZONE_1_THREAT,"Ruta corta, poca cobertura","Short route, little cover"
STRATEGY_ZONE_2_THREAT,Enemigos agrupados,Enemies grouped together
STRATEGY_ZONE_3_THREAT,Recorrido estándar,Standard layout
STRATEGY_ZONE_4_THREAT,Más puertas cerradas,More locked doors
STRATEGY_ZONE_5_THREAT,Presencia de miniboss,Miniboss presence
STRATEGY_ZONE_6_THREAT,"Espacio abierto, visión larga","Open space, long sightlines"
STRATEGY_REWARD_AMMO_FMT,+%d munición,+%d ammo
STRATEGY_REWARD_HEALTH_FMT,+%d vida,+%d health
STRATEGY_REWARD_WEAPON_FMT,Arma especial,Special weapon
STRATEGY_SQUAD_ALIVE_FMT,Vida %d/%d,Health %d/%d
STRATEGY_SQUAD_KIA,Fuera de combate,Down
STRATEGY_SQUAD_INCLUDE,Llevar a la planta,Bring to floor
